"filename", "language", "JSON", "TypeScript", "HTML", "CSS", "XML", "comment", "blank", "total"
"z:\PROJECTS_FRONTED\vulcanizerapp\angular.json", "JSON", 2, 0, 0, 0, 0, 0, 0, 2
"z:\PROJECTS_FRONTED\vulcanizerapp\package-lock.json", "JSON", 66, 0, 0, 0, 0, 0, 0, 66
"z:\PROJECTS_FRONTED\vulcanizerapp\package.json", "JSON", 2, 0, 0, 0, 0, 0, 0, 2
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\address.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\admin-managment\admin-managment.component.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\admin-managment\admin-managment.component.html", "HTML", 0, 0, 31, 0, 0, 0, 5, 36
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\admin-managment\admin-managment.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 6, 24
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\admin-managment\admin-managment.component.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 8, 43
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\admin-managment\business\waiting\waiting.component.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\admin-managment\business\waiting\waiting.component.html", "HTML", 0, 0, 44, 0, 0, 8, 6, 58
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\admin-managment\business\waiting\waiting.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 6, 24
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\admin-managment\business\waiting\waiting.component.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 9, 47
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\app.module.ts", "TypeScript", 0, 29, 0, 0, 0, 0, -1, 28
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\business.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 1, 12
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\service\authentication.service.ts", "TypeScript", 0, 21, 0, 0, 0, 1, 2, 24
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\user-managment\user-managment.component.html", "HTML", 0, 0, 671, 0, 0, 13, 25, 709
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\user-managment\user-managment.component.ts", "TypeScript", 0, 724, 0, 0, 0, 18, 56, 798
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\user.service.ts", "TypeScript", 0, 60, 0, 0, 0, 10, 3, 73
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\users.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 1, 2
"z:\PROJECTS_FRONTED\vulcanizerapp\src\assets\icon\caret-down-filled.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"z:\PROJECTS_FRONTED\vulcanizerapp\src\index.html", "HTML", 0, 0, 3, 0, 0, 0, 0, 3
"z:\PROJECTS_FRONTED\vulcanizerapp\src\styles.css", "CSS", 0, 0, 0, 99, 0, 22, 42, 163
"Total", "-", 70, 955, 749, 99, 1, 72, 172, 2118